Unnamed: 0,Text,Place Name,Country name EN,Wiki Title,id,gemini-flash,gemini-flash_loc,gemini-flash_faiss,gemini-pro,train
195,"It is the district seat of El Abiodh Sidi Cheikh District and has a population of 24.949 (2008), which gives it 7 seats in the PMA.",El Abiodh Sidi Cheikh,algeria,El Abiodh Sidi Cheikh,940,algeria,el abiodh sidi cheikh district,['algeria'],algeria,0
241,"Ad-Dann (Arabic: الدن Ad-Dann), historically known as Hisn Naʽman, is a village in Wusab Al Ali District of Dhamar Governorate, Yemen.",Ad Dann,yemen,Ad-Dann,986,yemen,"dhamar governorate, yemen",['oman'],yemen,0
405,"The population of Buston in 2020 is estimated at 34,000 for the city proper and 36,900 for the city with the outlying communities.",Buston,tajikistan,"Buston, Sughd",405,tajikistan,buston,['tajikistan'],no,0
721,"2018, Roghun was the seat of Roghun District, which covered the rural part of the present city of Roghun.",Roghun,tajikistan,Roghun,721,tajikistan,roghun,['tajikistan'],tajikistan,0
865,"In Roman times, Collo was a city in the province of Numidia, called Chullu.",Collo,algeria,Collo,1610,algeria,collo,['algeria'],algeria,0
135,"Dusti (Russian: Дусти; Tajik: Дӯстӣ) is a town in Khatlon Region, southern Tajikistan, near the Afghan border.",DÅ­stÃ­,tajikistan,Dusti,135,tajikistan,tajikistan,['tajikistan'],tajikistan,0
223,"Bou Ismaïl (Algerian Arabic: بو إسماعيل) is a city in Bou Ismaïl District, Tipasa Province, Algeria.",Bou IsmaÃ¯l,algeria,Bou IsmaÃ¯l,968,algeria,algeria,['algeria'],algeria,0
70,"San Ramón was founded as a ""(village) in 1867, and on 11 July 1910, its status was elevated to ""Villa""  town (pueblo) by the Act of Ley Nº 3.643.",San RamÃ³n,uruguay,"San RamÃ³n, Uruguay",70,no,san ramÃ³n,"['united states', 'philippines']",uruguay,0
342,"A 1983 survey of the Tsetsebjwe area found that there was no permanent surface water, although there was permanent water in the sand beds of most rivers.",Tsetsebjwe,botswana,Tsetsebjwe,342,botswana,tsetsebjwe area,['botswana'],botswana,0
289,"It lies along the Southwest bank of Shashe River, which happens to the border between the Central and North East Districts, so Tonota is considered to be in the Central District.",Tonota,botswana,Tonota,289,botswana,tonota,['botswana'],botswana,0
483,"The country's correctional facilities (Corradino prison) and the largest burial grounds, the Addolorata Cemetery are also within the limits of Paola.",Paola,malta,"Paola, Malta",483,malta,paola,"['malta', 'united states', 'italy']",malta,0
828,"Kushar District is a district of the Hajjah Governorate, Yemen.",Kushar,yemen,Kushar District,1573,yemen,yemen,['yemen'],yemen,0
36,"The antique Yemeni engravings mentioned Dhamar city as being a very famous center of the Islamic studies and sciences, and many of the great scientists are attributed to this historical town.",DhamÄr,yemen,"Dhamar, Yemen",781,yemen,dhamar city,['yemen'],yemen,0
210,Istaravshan (Tajik: Истаравшан; Persian: استروشن; Russian: Истаравшан) is a city in Sughd Province in Tajikistan.,Istaravshan,tajikistan,Istaravshan,210,tajikistan,istaravshan,['tajikistan'],tajikistan,0
561,"On 16 June 1837, the Tacuarembó Department was created (along with Salto and Paysandú), and San Fructuoso was named the capital.",TacuarembÃ³,uruguay,TacuarembÃ³,561,uruguay,tacuarembÃ£Â³ department,['argentina'],uruguay,0
495,Mosta has been inhabited since pre-history.,Mosta,malta,Mosta,495,malta,mosta,['malta'],malta,0
583,Lascano is a small town in the Rocha Department of southeastern Uruguay.,Lascano,uruguay,Lascano,583,uruguay,lascano,['uruguay'],uruguay,0
185,"Serowe has played an important role in Botswana's history, as capital for the Bamangwato people in the early 20th century and as birthplace of several of Botswana's presidents.",Serowe,botswana,Serowe,185,botswana,serowe,['botswana'],botswana,0
49,It is almost entirely surrounded by the populated rural area known as Chacras de Dolores.,Dolores,uruguay,"Dolores, Uruguay",49,no,chacras de dolores,['argentina'],uruguay,0
410,"The capital of Tuvalu is sometimes said to be Fongafale or Vaiaku, but, officially, the entire atoll of Funafuti is its capital, since it has a single government that is responsible for the whole atoll.",Funafuti,tuvalu,Funafuti,1155,tuvalu,funafuti,['tuvalu'],tuvalu,0
884,"Although of great antiquity, N'Gaous has not received much historical attention.",NâGaous,algeria,N'Gaous,1629,algeria,n'gaous,['algeria'],algeria,0
333,"The first reference to Taiz in historical sources dates back to the first half of the 12th century CE, when the sultan of the Sulayhid dynasty, Abdullah bin Muhammad al-Sulayhi, built the Al-Qahira Castle.",Taiz,yemen,Taiz,1078,yemen,taiz,['yemen'],yemen,0
292,"It is flanked by the Mediterranean Sea in the region of Corniche Jijelienne and had a population of 131,513 in 2008.",Jijel,algeria,Jijel,1037,algeria,corniche jijelienne,['tajikistan'],algeria,0
799,"Khamir is mentioned more frequently from the late 16th century onward, when it was frequently used as a base by armies in the region.",Khamir,yemen,"Khamir, Yemen",1544,yemen,khamir,['yemen'],no,0
168,"Montevideo is situated on the southern coast of the country, on the northeastern bank of the Río de la Plata.",Montevideo,uruguay,Montevideo,168,uruguay,montevideo,"['united states', 'uruguay']",uruguay,0
888,Freha is a town and commune in Tizi Ouzou Province in northern Algeria.,Freha,algeria,Freha,1633,algeria,algeria,['algeria'],algeria,0
99,Now Sliema and the coastline up to neighbouring St. Julian's constitutes Malta's main coastal resort.,Sliema,malta,Sliema,99,malta,malta,"['netherlands', 'brazil', 'malta', 'portugal', 'austria', 'united states']",malta,0
240,"Shoshong was initially inhabited by BaPhaleng, who were later joined by Bakaa, and later BaNgwato under King Sekgoma I.",Shoshong,botswana,Shoshong,240,botswana,shoshong,['botswana'],botswana,0
576,Minas (Spanish pronunciation: [ˈminas]) is the capital of the Lavalleja Department in Uruguay.,Minas,uruguay,"Minas, Uruguay",576,uruguay,uruguay,['uruguay'],uruguay,0
787,The average annual temperature in Hawf is 26.2 °C (79.2 °F).,á¸¨awf,yemen,Hawf District,1532,yemen,hawf,['yemen'],yemen,0
203,"The people of Mmankgodi are called the Bahurutshe, a group also found in the village of Manyana.",Mmankgodi,botswana,Mmankgodi,203,botswana,mmankgodi,['botswana'],botswana,0
555,During the first decades of the 19th century the area was known as Paso de Tranqueras because of the homonymous bridge over the Tacuarembó Grande river.,Tranqueras,uruguay,Tranqueras,555,uruguay,paso de tranqueras,['mexico'],uruguay,0
698,"Al Khawkhah District (Arabic: مديرية الخوخة) is a district of the Al Hudaydah Governorate, Yemen.",Al Khawkhah,yemen,Al Khawkhah District,1443,yemen,al khawkhah district,['norway'],yemen,0
650,New Amsterdam has its origins in a village which grew up alongside Fort Nassau in the 1730s and 1740s.,New Amsterdam,guyana,"New Amsterdam, Guyana",650,guyana,new amsterdam,['guyana'],guyana,0
394,"Charles Hill is the seat of the Charles Hill sub-District, established separately from Ghanzii District administratively in 2004.",Charles Hill,botswana,"Charles_Hill,_Botswana",394,botswana,no,['myanmar'],botswana,0
743,"In December 1828, Suárez served as the first head of state of the territory that was about to be known as Uruguay two years later.",JoaquÃ­n SuÃ¡rez,uruguay,JoaquÃ­n SuÃ¡rez,743,uruguay,uruguay,['uruguay'],uruguay,0
275,"Good Hope is approximately 115 km from Gaborone, the capital city of Botswana.",Good Hope,botswana,"Good Hope, Botswana",275,botswana,botswana,['botswana'],botswana,0
415,"Al Jawl lies several kilometres form the coast, north of the coastal town of Al Kawd.",Al Jawl,yemen,Al Jawl,1160,yemen,no,['myanmar'],yemen,0
23,"Ghanzi District measures 117,910 square kilometres (29,140,000 acres) and is bordered by Ngamiland to the north, Central District to the east, and Kgalagadi and Kweneg Districts to the south.",Ghanzi,botswana,Ghanzi,23,botswana,ghanzi district,['botswana'],botswana,0
634,"In the heart of Victoria lies the Cittadella (Citadel), formerly known as il Castello, which has been the centre of activity of the island since possibly Neolithic times, but is known to be first fortified during the Bronze Age c. 1500 BC.",Victoria,malta,"Victoria, Malta",634,malta,victoria,"['honduras', 'chile', 'argentina', 'hong kong', 'el salvador', 'philippines', 'mexico', 'seychelles', 'malta', 'grenada', 'colombia', 'romania', 'canada', 'united states']",malta,0
